"PCT","total","FRISKED","OTHRWEAP","FREQ","PERCENTAGE","normalisedFreq"
"216","70  ",11124,"N","N",4557,0.858691781092952,0.409654800431499
"217","70  ",11124,"N","Y",6,0.00113060142342719,0.000539374325782093
"218","70  ",11124,"Y","N",6539,1.23216711796507,0.587828119381517
"219","70  ",11124,"Y","Y",22,0.00414553855256637,0.00197770586120101
"220","71  ",4658,"N","N",2263,0.426425170202623,0.485830828681838
"221","71  ",4658,"N","Y",2,0.000376867141142397,0.0004293688278231
"222","71  ",4658,"Y","N",2373,0.447152862965454,0.509446114212108
"223","71  ",4658,"Y","Y",20,0.00376867141142397,0.004293688278231
"224","72  ",5139,"N","N",2393,0.450921534376878,0.465654796653045
"225","72  ",5139,"Y","N",2736,0.5155542490828,0.532399299474606
"226","72  ",5139,"Y","Y",10,0.00188433570571199,0.00194590387234871
"227","73  ",21901,"N","N",12019,2.26478308469524,0.548787726587827
"228","73  ",21901,"N","Y",3,0.000565300711713596,0.000136980046573216
"229","73  ",21901,"Y","N",9847,1.85550536941459,0.449614172868819
"230","73  ",21901,"Y","Y",32,0.00602987425827836,0.00146112049678097
"231","75  ",24306,"N","N",11883,2.23915611909755,0.488891631695878
"232","75  ",24306,"N","Y",9,0.00169590213514079,0.000370278943470748
"233","75  ",24306,"Y","N",12365,2.32998110011287,0.508722126223978
"234","75  ",24306,"Y","Y",49,0.00923324495798874,0.00201596313667407
"235","76  ",4476,"N","N",2607,0.491246318479115,0.582439678284182
"236","76  ",4476,"N","Y",1,0.000188433570571199,0.000223413762287757
"237","76  ",4476,"Y","N",1858,0.350109574121287,0.415102770330652
"238","76  ",4476,"Y","Y",10,0.00188433570571199,0.00223413762287757
"239","77  ",9903,"N","N",4613,0.869244061044939,0.465818438856912
"240","77  ",9903,"N","Y",3,0.000565300711713596,0.000302938503483793
"241","77  ",9903,"Y","N",5262,0.991537448345647,0.531354135110573
"242","77  ",9903,"Y","Y",25,0.00471083926427997,0.00252448752903161
"243","78  ",3274,"N","N",2068,0.389680623941239,0.631643249847282
"244","78  ",3274,"N","Y",1,0.000188433570571199,0.00030543677458766
"245","78  ",3274,"Y","N",1198,0.225743417544296,0.365913255956017
"246","78  ",3274,"Y","Y",7,0.00131903499399839,0.00213805742211362
"247","79  ",15179,"N","N",6843,1.28945092341871,0.450820212135187
