"fs[, 1]","V1"
"14000US36047074400",1
"14000US36047074600",1
"14000US36047074800",1
"14000US36047075000",1
"14000US36047075200",1
"14000US36047075400",1
"14000US36047075600",1
"14000US36047075800",1
"14000US36047076000",1
"14000US36047076200",1
"14000US36047076400",1
"14000US36047076600",1
"14000US36047076800",1
"14000US36047077000",1
"14000US36047077200",1
"14000US36047077400",1
"14000US36047077600",1
"14000US36047078000",1
"14000US36047078200",1
"14000US36047078400",1
"14000US36047078600",2
"14000US36047078800",1
"14000US36047079000",2
"14000US36047079200",2
"14000US36047079400",1
"14000US36047079601",1
"14000US36047079602",2
"14000US36047079801",1
"14000US36047079802",1
"14000US36047080000",1
"14000US36047080200",1
"14000US36047080400",1
"14000US36047080600",1
"14000US36047080800",1
"14000US36047081000",1
"14000US36047081400",1
"14000US36047081600",1
"14000US36047081800",1
"14000US36047082000",2
"14000US36047082200",2
"14000US36047082400",2
"14000US36047082600",2
"14000US36047082800",1
"14000US36047083000",2
"14000US36047083200",1
"14000US36047083400",1
"14000US36047083600",1
"14000US36047083800",1
"14000US36047084000",1
"14000US36047084600",1
"14000US36047084800",1
"14000US36047085000",1
"14000US36047085200",1
"14000US36047085400",1
"14000US36047085600",1
"14000US36047085800",1
"14000US36047086000",1
"14000US36047086200",1
"14000US36047086400",1
"14000US36047086600",1
"14000US36047086800",2
"14000US36047087000",1
"14000US36047087200",1
"14000US36047087401",1
"14000US36047087600",1
"14000US36047087800",1
"14000US36047088000",1
"14000US36047088200",2
"14000US36047088400",2
"14000US36047088600",2
"14000US36047088800",1
"14000US36047089000",2
"14000US36047089200",2
"14000US36047089400",2
"14000US36047089600",2
"14000US36047089800",2
"14000US36047090000",2
"14000US36047090200",2
"14000US36047090600",3
"14000US36047090800",3
"14000US36047091000",3
"14000US36047091200",3
"14000US36047091600",3
"14000US36047091800",2
"14000US36047092000",2
"14000US36047092200",1
"14000US36047092400",3
"14000US36047092800",1
"14000US36047093000",1
"14000US36047093200",1
"14000US36047093400",1
"14000US36047093600",1
"14000US36047093800",1
"14000US36047094401",1
"14000US36047094402",2
"14000US36047094600",1
"14000US36047095000",1
"14000US36047095400",1
"14000US36047095600",1
"14000US36047095800",1
"14000US36047096000",1
"14000US36047096200",1
"14000US36047096400",1
"14000US36047096600",1
"14000US36047096800",1
"14000US36047097000",1
"14000US36047097400",1
"14000US36047098200",2
"14000US36047098400",1
"14000US36047098600",1
"14000US36047098800",1
"14000US36047099000",1
"14000US36047099200",1
"14000US36047099400",1
"14000US36047099600",1
"14000US36047099800",1
"14000US36047100400",1
"14000US36047100600",1
"14000US36047100800",1
"14000US36047101000",1
"14000US36047101200",1
"14000US36047101400",1
"14000US36047101600",1
"14000US36047101800",1
"14000US36047102000",1
"14000US36047102200",1
"14000US36047102400",1
"14000US36047102600",1
"14000US36047102800",1
"14000US36047103400",2
"14000US36047105801",2
"14000US36047105804",2
"14000US36047107000",1
"14000US36047107800",1
"14000US36047109800",1
"14000US36047110400",3
"14000US36047110600",3
"14000US36047111000",2
"14000US36047111600",1
"14000US36047111800",1
"14000US36047112000",2
"14000US36047112200",1
"14000US36047112400",2
"14000US36047112600",3
"14000US36047112800",2
"14000US36047113000",2
"14000US36047113200",1
"14000US36047113400",2
"14000US36047114201",1
"14000US36047114202",1
"14000US36047114400",2
"14000US36047114600",1
"14000US36047115000",1
"14000US36047115200",2
"14000US36047115600",3
"14000US36047115800",2
"14000US36047116000",1
"14000US36047116200",1
"14000US36047116400",1
"14000US36047116600",1
"14000US36047116800",1
"14000US36047117000",1
"14000US36047117201",1
"14000US36047117202",1
"14000US36047117400",1
"14000US36047117601",1
"14000US36047117602",1
"14000US36047117800",1
"14000US36047118000",1
"14000US36047118201",1
"14000US36047118202",1
"14000US36047118400",1
"14000US36047118600",1
"14000US36047118800",1
"14000US36047119000",1
"14000US36047119200",2
"14000US36047119400",2
"14000US36047119600",3
"14000US36047119800",2
"14000US36047120000",1
"14000US36047120200",1
"14000US36047120800",2
"14000US36047121000",3
"14000US36047121400",3
"14000US36047122000",1
"14000US36047123700",2
"14000US36047150200",1
"14000US36047152200",1
"14000US36061000201",1
"14000US36061000202",2
"14000US36061000600",2
"14000US36061000700",1
"14000US36061000800",2
"14000US36061000900",1
"14000US36061001001",1
"14000US36061001002",2
"14000US36061001200",1
"14000US36061001300",3
"14000US36061001401",1
"14000US36061001402",2
"14000US36061001501",1
"14000US36061001502",1
"14000US36061001600",2
"14000US36061001800",2
"14000US36061002000",2
"14000US36061002100",1
"14000US36061002201",2
"14000US36061002202",1
"14000US36061002400",2
"14000US36061002500",2
"14000US36061002601",2
"14000US36061002602",2
"14000US36061002700",1
"14000US36061002800",2
"14000US36061002900",2
"14000US36061003001",1
"14000US36061003002",1
"14000US36061003100",1
"14000US36061003200",2
"14000US36061003300",1
"14000US36061003400",1
"14000US36061003601",2
"14000US36061003602",1
"14000US36061003700",1
"14000US36061003800",2
"14000US36061003900",1
"14000US36061004000",1
"14000US36061004100",2
"14000US36061004200",1
"14000US36061004300",1
"14000US36061004400",1
"14000US36061004500",1
"14000US36061004700",1
"14000US36061004800",1
"14000US36061004900",1
"14000US36061005000",1
"14000US36061005200",1
"14000US36061005400",1
"14000US36061005501",1
"14000US36061005502",1
"14000US36061005600",1
"14000US36061005700",1
"14000US36061005800",1
"14000US36061005900",1
"14000US36061006000",1
"14000US36061006100",1
"14000US36061006200",1
"14000US36061006300",1
"14000US36061006400",1
"14000US36061006500",1
"14000US36061006600",2
"14000US36061006700",2
"14000US36061006800",1
"14000US36061006900",1
"14000US36061007000",1
"14000US36061007100",1
"14000US36061007200",1
"14000US36061007300",2
"14000US36061007400",1
"14000US36061007500",1
"14000US36061007600",1
"14000US36061007700",1
"14000US36061007800",1
"14000US36061007900",1
"14000US36061008000",1
"14000US36061008100",1
"14000US36061008200",1
"14000US36061008300",1
"14000US36061008400",1
"14000US36061008601",1
"14000US36061008602",1
"14000US36061008603",1
